word	hanja	syn	def	pos	level 	
사이			space between 2 points; the relationship between 2 people	1	A	
그			He	8	A	
영국	英國		England	7	A	
회사	會社		A company	1	A	
구십	九十		90	9	A	
인천	仁川		Incheon city	7	A	
이십	二十		Twenty	9	A	
독일	獨逸		Germany	7	A	
육십	六十		Sixty	9	A	
팔십	八十		80	9	A	
사탕	沙糖		Sugar	1	A	
삼십	三十		30	9	A	
오십	五十		Fifty	9	A	
중국어	中國語		Chinese	1	A	
칠십	七十		Seventy	9	A	
실례하다	失禮-		To be impolite	2	A	
키		신장	stature,height	1	A	
화요일	火曜日		Tuesday	1	A	
선물하다	膳物-		Give a gift	2	A	
요리하다	料理-		To cook (food)	2	A	
칫솔	齒-		A toothbrush	1	A	
장미	薔薇		A rose	1	A	
냉면	冷麵		Cold noodles soup	1	A	
수영장	水泳場		Swimming pool	1	A	
일본어	日本語		Japanese	1	A	
칠판	漆板		The blackboard	1	A	
버스	bus		Bus	1	A	
목요일	木曜日		Thursday	1	A	
청바지	靑-		Blue jeans	1	A	
휴지통	休紙桶		Waste paper basket	1	A	
공휴일	公休日		A legal holiday	1	A	
스키	ski		Ski	1	A	
운동화	運動靴		Sports shoes	1	A	
도착	到着		Arrival	1	A	
세탁기	洗濯機		Washing machine	1	A	
포도	葡萄		grape(s)	1	A	
수요일	水曜日		Wednesday	1	A	
운전하다	運轉-		To drive	2	A	
치약	齒藥		Toothpaste	1	A	
금요일	金曜日		Friday	1	A	
요일	曜日		A day of the week not the weekend	1	A	
질문하다	質問-		Ask a person a question	2	A	
간호사	看護師		Nurse	1	A	
안녕	安寧		hello/goodbye	10	A	
개		동물	A dog	1	A	
한국말	韓國-		Korean (language)	1	A	
계란	鷄卵		An egg	1	A	
세수	洗手		Hand-washing	1	A	
수		방법	way,method	5	A	
새		날짐승	A bird	1	A	
태권도	跆拳道		Tae kwon do	1	A	
감사	感謝		Thanks	1	A	
휴지	休紙		Toilet paper	1	A	
여동생	女同生		Younger sister	1	A	
물		바닷~	Water	1	A	
길		도로	Road	1	A	
여행하다	旅行-		To travel	2	A	
정류장	停留場		stop,a station,bus-stop	1	A	
식사하다	食事-		To eat a meal	2	A	
우체국	郵遞局		A post office	1	A	
일		하루	One day	5	A	
이	二		Two	9	A	
남학생	男學生		Male student	1	A	
발음	發音		Pronunciation	1	A	
경치	景致		A scene or  scenery	1	A	
연습하다	練習-		To practice,exercise	2	A	
참		참으로	really,truly	3	A	
좀		조금	A little	3	A	
안		아니	~ not ~ + VERB	3	A	
꼭		반드시	For sure	3	A	
초대하다	招待-		To invide	2	A	
서점	書店		A bookstore	1	A	
양말	洋襪		A sock	1	A	
공책	空冊		Notebook for taking notes and studying	1	A	
일	一		One	9	A	
소풍	逍風		Picnic	1	A	
외국어	外國語		A foreign language; sometimes, only means English	1	A	
중학생	中學生		Middle school student	1	A	
휴일	休日		A day off of work, a holiday	1	A	
쪽		방향	Way, direction	5	A	
살		한 ~	Years old	5	A	
분		한 ~	One part	5	A	
감사하다	感謝-		To thank	2	A	
청소하다	淸掃-		To clean	2	A	
월요일	月曜日		Monday	1	A	
일곱			Seven	9	A	
주소	住所		An address	1	A	
기숙사	寄宿舍		A hostel or  residence hall	1	A	
산책	散策		A walk,stroll	1	A	
운동하다	運動-		To do exercise	2	A	
그녀	-女		She	8	A	
축하하다	祝賀-		To Congratulate sb	2	A	
이번	-番		This time	1	A	
수건	手巾		Handkerchief	1	A	
전화하다	電話-		To call	2	A	
대학교	大學校		University	1	A	
안녕히	安寧-		Peacefully	3	A	
과자	菓子		A snack or  pastries or  candy	1	A	
수박	과일		Watermelon	1	A	
다르다			Be different	1	A	
번호	番號		A number	1	A	
여권	旅券		A passport	1	A	
인사하다	人事-		To greet, say hello	2	A	
모자	帽子		A hat	1	A	
그쪽			Those people	8	A	
지갑	紙匣		A purse,wallet	1	A	
친절하다	親切-		To be kind, to be nice	4	A	
그거			That thing	8	A	
그것			That thing	8	A	
일흔			Seventy	9	A	
아			Oh dear	10	A	
그곳			That place	8	A	
거		것	That thing	8	A	
목욕	沐浴		A bath	1	A	
연필	鉛筆		Pencil	1	A	
거기			There (location)	8	A	
쉰			50	9	A	
운전	運轉		Driving	1	A	
육	六		The number six	9	A	
칠	七		Seven	9	A	
천	千		Thousand	9	A	
결혼식	結婚式		Wedding	1	A	
예순			Sixty	9	A	
감기	感氣		A cold	1	A	
냉장고	冷藏庫		Freezer	1	A	
오	五		Five	9	A	
열			Ten	9	A	
여덟			Eight	9	A	
여학생	女學生		Female student	1	A	
여든			Eighty	9	A	
여섯			Six	9	A	
아홉			Nine	9	A	
사과	沙果		An apple	1	A	
아흔			Ninety	9	A	
십	十		10	9	A	
몇			A few	6	A	
경찰서	警察署		A police station	1	A	
스물			Twenty	9	A	
셋			Three	9	A	
서른			Thirty	9	A	
서쪽	西-		The west	1	A	
삼	三		Three	9	A	
사	四		four,the fourth	9	A	
백	百		One hundred	9	A	
마흔			Forty	9	A	
만	萬		10000	9	A	
다섯			5	9	A	
넷			4	9	A	
넷째			Fourth	9	A	
구	九		9	9	A	
공원	公園		Park	1	A	
교과서	敎科書		Textbook	1	A	
수영	水泳		Swimming	1	A	
팔	八		Eight	9	A	
기차	汽車		A train	1	A	
어			Oh, well, why	10	A	
졸업	卒業		Graduation	1	A	
생선	生鮮		Raw fish	1	A	
죄송하다	罪悚-		regret,be sorry for	4	A	
한자	漢字		Korean character, derived from chinese	1	A	
안경	眼鏡		Glasses	1	A	
약속하다	約束-		To make a promise	2	A	
한복	韓服		Korean traditional clothing	1	A	
아니요			No, that’s not the case	10	A	
피곤하다	疲困-		To be very tired, exhausted	4	A	
한국어	韓國語		Korean (language)	1	A	
계절	季節		Season	1	A	
네			Yes	10	A	
다리	교량		Bridge	1	A	
청소	淸掃		Cleaning	1	A	
그			That	10	A	
그래			So or  yes or  that’s right	10	A	
그럼			Interjection: “yeh or  that’s right”	10	A	
공항	空港		Airport	1	A	
군인	軍人		Sb in the military	1	A	
토요일	土曜日		Saturday	1	A	
경찰관	警察官		a policeman	1	A	
극장	劇場		Theater or  playhouse	1	A	
의자	椅子		A chair	1	A	
설탕	雪糖		Sugar	1	A	
점심	點心		Lunch	1	A	
단어	單語		Word	1	A	
북쪽	北-		The north direction	1	A	
위험하다	危險-		To be dangerous	4	A	
졸업하다	卒業-		To graduate	2	A	
여러			many,various	6	A	
십일월	十一月		November	1	A	
어느			Some, a certain	6	A	
우유	牛乳		Milk	1	A	
아무			anybody,everybody	6	A	
창문	窓門		A window	1	A	
셋째			The third	6	A	
중학교	中學校		Middle school	1	A	
가수	歌手		Singer	1	A	
안녕하다	安寧-		To say hello	4	A	
출발하다	出發-		To depart, leave	2	A	
백	百		Hundreds of	6	A	
대학생	大學生		University student	1	A	
생일	生日		A birthday	1	A	
무슨			What, what kind of	6	A	
주말	週末		Weekend	1	A	
내년	來年		Next year	1	A	
모든			Every one	6	A	
연습	練習		practice,exercise	1	A	
지도	地圖		Map, atlas	1	A	
화장실	化粧室		Bathroom	1	A	
만	萬		10000	6	A	
다른			Different	6	A	
사무실	事務室		Office	1	A	
이월	二月		February	1	A	
일요일	日曜日		Sunday	1	A	
다섯째			Fifth	6	A	
선물	膳物		A present,gift	1	A	
위험	危險		Danger	1	A	
지하	地下		Underground	1	A	
지하철	地下鐵		Subway	1	A	
네			You	6	A	
교회	敎會		Preach or  moral instruction	1	A	
일월	一月		January	1	A	
도서관	圖書館		Library	1	A	
침대	寢臺		A bed	1	A	
넷째			Fourth	6	A	
부인	夫人		A woman	1	A	
숙제	宿題		Homework	1	A	
우산	雨傘		An umbrealla	1	A	
책상	冊床		On the desk	1	A	
남쪽	南-		South side	1	A	
색깔	色-		Color	1	A	
요리	料理		Cooking	1	A	
유명하다	有名-		To be famous	4	A	
한			One, a single	6	A	
외국인	外國人		A foreigner, a foreign national	1	A	
방학	放學		School holidays	1	A	
캐나다		Canada	Canada	7	A	
시월	十月		October	1	A	
박물관	博物館		Museum	1	A	
팔월	八月		August	1	A	
미안하다	未安-		To be sorry	4	A	
인사	人士		People, men of society	1	A	
대답	對答		An answer	1	A	
시작	始作		The beginning	1	A	
칠월	七月		Month of July	1	A	
십이월	十二月		December	1	A	
컵	cup		Cup	1	A	
보통	普通		The normal	1	A	
식당	食堂		Restaurant	1	A	
우리			we,our	8	A	
소개하다	紹介-		To introduce,present	2	A	
복잡하다	複雜-		Be complicated	4	A	
축구	蹴球		Football	1	A	
장소	場所		Place	1	A	
교실	敎室		Classroom	1	A	
건강하다	健康-		To be healthy	4	A	
벌써			Already	3	A	
도착하다	到着-		To arrive	2	A	
교통	交通		Traffic or  transportation	1	A	
이			A person, a man/woman	8	A	
이거			This thing	8	A	
이것			This thing	8	A	
내일	來日		Tomorrow	1	A	
매일	每日		Every day	3	A	
약속	約束		A promise	1	A	
인사	人事		Greetings	1	A	
자전거	自轉車		Bicycle	1	A	
부모님	父母-		Parents	1	A	
비행기	飛行機		An airplane	1	A	
이곳			This place, here	8	A	
오전	午前		Morning	1	A	
결혼하다	結婚-		Get married	2	A	
질문	質問		A question, a query	1	A	
이분			Divide into two	8	A	
이쪽			This side, our way	8	A	
저		일인칭 대명사	That	8	A	
근처	近處		Nearby or  the vicinity	1	A	
대답하다	對答-		To answer, reply	2	A	
준비하다	準備-		To prepare	2	A	
사장	社長		Company boss	1	A	
삼월	三月		March	1	A	
남녀	男女		Man and woman	1	A	
준비	準備		Preparation	1	A	
구월	九月		September	1	A	
유월	六月		June	1	A	
저거			That thing over there	8	A	
저것			That thing over there	8	A	
저곳			That place over there	8	A	
새			New	6	A	
영어	英語		The english language	1	A	
저기			That place, there	8	A	
작년	昨年		Last year	1	A	
부부	夫婦		Man and wife	1	A	
여행	旅行		Trip	1	A	
오월	五月		May	1	A	
저쪽			Over there, in that direction	8	A	
사월	四月		April	1	A	
편지	便紙		Letter	1	A	
여기			A hobby	8	A	
설명	說明		Explanation	1	A	
여러분			You (plural, to address a group at speech time)	8	A	
어디			Where?	8	A	
수업	授業		school,teaching	1	A	
식사	食事		A meal	1	A	
너			You	8	A	
개월	個月		Each and every month	5	A	
공부하다	工夫-		To study	2	A	
무엇			That thing,whatever	8	A	
누구			Who	8	A	
주인	主人		The head of a family,the owner	1	A	
나			Me	8	A	
자동차	自動車		Car	1	A	
제일	第一		The first	1	A	
그분			That person (respectful)	8	A	
세	歲		Age in years	5	A	
항상	恒常		Always	3	A	
환자	患者		A patient	1	A	
대화	對話		Conversation	1	A	
잠시	暫時		For a little while	3	A	
사진	寫眞		Picture	1	A	
열심히	熱心-		Enthusiastically,with zeal	3	A	
부모	父母		Parents	1	A	
달			The moon	5	A	
병원	病院		Hospital	1	A	
경찰	警察		The police	1	A	
시험	試驗		A test	1	A	
건강	健康		Health	1	A	
건물	建物		Building	1	A	
외국	外國		A foreign country	1	A	
시작되다	始作-		To begin,start	2	A	
설명하다	說明-		To explain	2	A	
음악	音樂		Music	1	A	
고향	故鄕		Hometown	1	A	
은행	銀行		A bank	1	A	
결혼	結婚		Marriage	1	A	
오후	午後		The afternoon	1	A	
분		10시 20~	Minutes	5	A	
번	番		Number, how many times	5	A	
맵다			Spicy	4	A	
물건	物件		A thing	1	A	
학년	學年		A school year	1	A	
신문	新聞		A newspaper	1	A	
이해하다	理解-		To understand	2	A	
선생	先生		Teacher	1	A	
기분	氣分		Mood	1	A	
회의	會議		A meeting, a conference	1	A	
공부	工夫		Study	1	A	
음식	飮食		Food	1	A	
것			A thing or  an object	5	A	
바람		눈이 오는 ~에	As a result,by the influence of	5	A	
계획	計劃		A plan or  a project	1	A	
계속	繼續		Continuously	3	A	
가족	家族		Family	1	A	
도시	都市		City	1	A	
미터		meter	Meter	5	A	
영화	映畵		A movie	1	A	
필요	必要		Need, requirement,necessity	1	A	
정말	正-		Really	3	A	
교수	敎授		Teaching or  instruction	1	A	
전화	電話		Telephone	1	A	
명	名	한 ~	Person counter	5	A	
학생	學生		Student	1	A	
마리			Number of animals	5	A	
필요하다	必要-		To need	4	A	
사용하다	使用-		To use	2	A	
남편	男便		Husband	1	A	
대학	大學		University	1	A	
지금	只今		Now	3	A	
선생님	先生-		Teacher	1	A	
역사	歷史		History	1	A	
물론	勿論		Of course	3	A	
시장	市場		market,fair	1	A	
중요하다	重要-		To be important,weighty	4	A	
안	집~		Inside	1	A	
학교	學校		School	1	A	
년	年		Year	5	A	
시작하다	始作-		To start,begin	2	A	
친구	親舊		A friend	1	A	
남자	男子		Boy	1	A	
세		~ 권	Three	6	A	
문제	問題		question,problem	1	A	
여자	女子		woman,female	1	A	
이		신체	A tooth	1	A	
위		~아래	The upper part, above	1	A	
사십	四十		40	9	A	
한번	-番		Once	1	A	
검은색	-色		Black or  dark	1	A	
달력	-曆		A calendar	1	A	
노란색	-色		Yellow	1	A	
빨간색	-色		deep-red,crimson	1	A	
얘기		이야기	Story	1	A	
지난주	-週		Last week	1	A	
파란색	-色		Blue	1	A	
권	卷		A volume or  a book	5	A	
거		것	That thing	5	A	
개	個		Unit or  piece	5	A	
퍼센트		percent	Percent	5	A	
이런			Such, like this	6	A	
저		멀리 있는 대상	Uh, well,  ...	6	A	
전	前		Before	6	A	
스무			20	6	A	
그렇다			That is right or  yes.	4	A	
괜찮다			To be okay	4	A	
고맙다			To thank	4	A	
고프다			Hungry or  famished	4	A	
같다			To be similar	4	A	
가깝다			Close	4	A	
가볍다			Light	4	A	
원		화폐 단위	A unit of south korean  money, KRW	5	A	
월	月		A month	5	A	
호	號		A pen name, a title; a number, an issue	5	A	
술		밥 한 ~	Spoonful	5	A	
장	張	종이 한 ~	One piece of sth flat	5	A	
씨	氏		~ Mr.	5	A	
힘들다			To be hard, difficult	4	A	
밝다			To be promising	4	A	
배고프다			To be hungry	4	A	
배부르다			To be full	4	A	
반갑다			Be happy	4	A	
멀다		갈 길이 ~	To be far	4	A	
많다			many,much	4	A	
맑다			clean,pure	4	A	
맛없다			Bad flavor	4	A	
맛있다			Delicious	4	A	
덥다			Be hot, heated	4	A	
높다			High	4	A	
늦다			To be late (time)	4	A	
넓다			Broad	4	A	
낮다			Be low	4	A	
나쁘다			To be bad	4	A	
길다		밤이 ~	To be long	4	A	
깨끗하다			To be clean or  pure	4	A	
재미없다			Boring	4	A	
재미있다			interesting,fun	4	A	
작다			Small	4	A	
예쁘다			Pretty, lovely	4	A	
어떠하다			To be how	4	A	
어떻다			how,what.. do you think of	4	A	
어렵다			To be hard, difficult	4	A	
아프다			To hurt	4	A	
아니다			To not be	4	A	
아름답다			To be beautiful	4	A	
싫다			To not like, to hate	4	A	
싸다		집값이 ~	Be inexpensive	4	A	
슬프다			To be sad,sorrowful	4	A	
시원하다			Be cool,refreshing	4	A	
쉽다			To be easy	4	A	
비슷하다			To resemble	4	A	
비싸다			To be expensive	4	A	
빠르다			Be fast, quick	4	A	
갑자기			Suddenly	3	A	
같이			Together	3	A	
가끔			Sometimes	3	A	
하지만			But, nevertheless	3	A	
함께			Together, with	3	A	
이렇다			Like this	4	A	
크다			To be big, large	4	A	
춥다			To be cold	4	A	
짧다			Short, brief	4	A	
즐겁다			Be pleasant,agreeable	4	A	
조용하다			To be quiet,still	4	A	
좋다			To be good	4	A	
적다		경험이 ~	To be small, few in number	4	A	
더			More	3	A	
다시			Again	3	A	
다			All, everything	3	A	
너무			Too much	3	A	
그렇지만			But or  however	3	A	
그래서			And so accordingly	3	A	
그러나			However or  but still	3	A	
그러니까			And so it is that	3	A	
그러면			If so or  if that is the case	3	A	
그런데			But or  however	3	A	
그럼		그러면'의 준말	Certainly or  of course.	3	A	
곧			Soon	3	A	
어서			Quickly 2) kindly	3	A	
어제			Yesterday	3	A	
언제나			everytime,always	3	A	
얼마나			How many, how much	3	A	
자주			Always, constantly	1	A	
아주			Extremely	3	A	
아직			Still	3	A	
아니			Not	3	A	
아마			Probably	3	A	
서로			mutually,one another	3	A	
빨리			Quickly	3	A	
바로			Right, correctly	3	A	
못			Cannot	3	A	
많이			A lot	3	A	
매우			Very	3	A	
조금			A little	3	A	
혼자			Alone	1	A	
화		~를 내다	Anger (get angry)	1	A	
왜			Why?	3	A	
왜냐하면			Because	3	A	
일찍			Early	3	A	
천천히			Slowly	3	A	
잘			Well	3	A	
잠깐			For a little while	3	A	
오래			Long, for a long time	3	A	
가방		~을 메다	Bag	1	A	
가슴			Chest	1	A	
가운데			In the middle	1	A	
가을			Autumn or  fall	1	A	
한글			Korean writing system	1	A	
피아노		piano	Pian	1	A	
피자		&이pizza	Pizza	1	A	
하늘			The sky	1	A	
표	票		A marker, indication	1	A	
팔		신체의 일부	An arm	1	A	
할머니			Grandmother	1	A	
할아버지			Grandfather	1	A	
호텔		hotel	Hotel	1	A	
구경			An enjoyable sight or spectacle	1	A	
곳			Place	1	A	
과	課		A lesson or  a section or  a department	1	A	
과일			A fruit	1	A	
고기			Meat	1	A	
고등학교	高等學校		A senior high school	1	A	
고등학생	高等學生		High school student	1	A	
고양이			Kitten	1	A	
게임		game	Game	1	A	
겨울			Winter	1	A	
거울			1) mirror  2) a pattern or  model or  exemplar	1	A	
걱정			Worry	1	A	
값			Price	1	A	
강	江		River	1	A	
갈비			The ribs	1	A	
끝			The end	1	A	
가게			Store	1	A	
낮			Daytime	1	A	
꽃			Flower	1	A	
꿈			A Dream	1	A	
나라			A country	1	A	
나무			Tree	1	A	
급	級		Class or  grade or  rank	1	A	
그릇			A vessel or  receptacle	1	A	
그림			A picture	1	A	
그날			That day or  that same day	1	A	
그동안			During that time	1	A	
그때			Then or  at that time	1	A	
구름			A cloud or  the clouds	1	A	
댁	宅		You and your family	1	A	
